Наименование,Ед. изм.,Цена закупа,Кол-во приехало на склад,Кол-во на возврат,Кол-во коробок/ящиков/кг,Цена за коробка/ящик,Общая сумма,Поставщик,Кол-во принято на баланс,Цена за кг/шт/упак,Стоимость принятых товаров,Разница м\у закупочной и фактом
Брокколи ,кг,600,18,,"17,2",850,14620,Алмас,"18,00","812,22","14 620,00","-3 820,00"
Картофель Бейби ,кг,400,"19,34",,"19,4",140,2716,Алмас,"19,34","140,43","2 716,00","5 020,00"
Картофель отборный ,кг,180,47,,"47,5",185,"8787,5",Алмас,"47,00","186,97","8 787,50","-327,50"
Лук красный,кг,500,14,,14,350,4900,Алмас,"14,00","350,00","4 900,00","2 100,00"
Лук репчатый молодой,кг,180,106,,106,170,18020,Алмас,"106,00","170,00","18 020,00","1 060,00"
Морковь желтая,кг,250,31,,"31,3",200,6260,Алмас,"31,00","201,94","6 260,00","1 490,00"
Морковь свежая ,кг,250,212,,"221,5",280,62020,Алмас,"212,00","292,55","62 020,00","-9 020,00"
Огурцы Рава,кг,300,"6,2",,"6,3",300,1890,Алмас,"6,20","304,84","1 890,00","-30,00"
Перец чили красный мелкий,кг,2 500,"1,98",,2,2800,5600,Алмас,"1,98","2 828,28","5 600,00","-650,00"
Редис весовой,кг,350,"13,96",,14,450,6300,Алмас,"13,96","451,29","6 300,00","-1 414,00"
Салат Айсберг,кг,300,"11,7",,"11,7",300,3510,Алмас,"11,70","300,00","3 510,00","0,00"
Чеснок чищенный,кг,1 300,3,,3,1200,3600,Алмас,"3,00","1 200,00","3 600,00","300,00"
Яблоки Золотое Превосходное,кг,550,"58,2",,"58,4",480,28032,Алмас,"58,20","481,65","28 032,00","3 978,00"
"Салат Фризе, упак",упак,3 500,3,,3,3200,9600,Алмас,"3,00","3 200,00","9 600,00","900,00"
Стебли сельдерея,кг,1 250,"3,9",,4,1200,4800,Алмас,"3,90","1 230,77","4 800,00","75,00"
Клубника,кг,2 300,"12,8",,"12,7",2200,27940,Алмас,"12,80","2 182,81","27 940,00","1 500,00"
Черешня Узбекистан,кг,1 600,"153,2",,"148,3",1300,192790,Алмас,"153,20","1 258,42","192 790,00","52 330,00"
Апельсин Иран,кг,600,"23,2",,3,4300,12900,Алмас,"23,20","556,03","12 900,00","1 020,00"
Яблоки Мутсу,кг,"500,00",26,,2,7500,15000,Алмас,"26,00","576,92","15 000,00","-2 000,00"
Арахис солёный чищенный,кг,"1 600,00",1,,1,1600,1600,Алмас,"1,00","1 600,00","1 600,00","0,00"
Банановые чипсы,кг,"2 300,00","1,66",,"1,66",3400,5644,Алмас,"1,66","3 400,00","5 644,00","-1 826,00"
Компотная смесь,упак,"600,00","2,5",,"2,5",600,1500,Алмас,"2,50","600,00","1 500,00","0,00"
Орехи грецкие чищенные,кг,"2 900,00","3,9",,"3,9",2800,10920,Алмас,"3,90","2 800,00","10 920,00","390,00"
Пастила,упак,"1 650,00",1,,1,450,450,Алмас,"1,00","450,00","450,00","1 200,00"
Клубника местная,кг,"1 300,00","10,8",,"10,9",1200,13080,Алмас,"10,80","1 211,11","13 080,00","960,00"
Тачка,,,,,,,11000,Алмас,,,"0,00",
,,,,,,,"473479,5",Алмас,,,,
,,,,,,,,,,,,
"Кинза, упак 100гр",в упаковке 100гр,"900,00",22,,22,900,19800,Жаке,"22,00","900,00","19 800,00","0,00"
"Листья салата, упак 100гр",в упаковке 100гр,"550,00",10,,10,550,5500,Жаке,"10,00","550,00","5 500,00","0,00"
"Лук зеленый, упак 100гр",в упаковке 100гр,"1 000,00",25,,25,1000,25000,Жаке,"25,00","1 000,00","25 000,00","0,00"
"Мята, упак 100гр",в упаковке 100гр,"1 300,00",28,,28,1300,36400,Жаке,"28,00","1 300,00","36 400,00","0,00"
"Петрушка кудрявая, упак 100гр",в упаковке 100гр,"1 400,00",3,,3,1400,4200,Жаке,"3,00","1 400,00","4 200,00","0,00"
"Петрушка обычная, упак 100гр",в упаковке 100гр,"1 000,00",23,,23,1000,23000,Жаке,"23,00","1 000,00","23 000,00","0,00"
"Руккола, упак 100гр",в упаковке 100гр,"1 200,00",10,,10,1200,12000,Жаке,"10,00","1 200,00","12 000,00","0,00"
"Зелень сельдерея, упак 100гр",в упаковке 100гр,"1 200,00",11,,11,1200,13200,Жаке,"11,00","1 200,00","13 200,00","0,00"
"Укроп, упак 100гр",в упаковке 100гр,"1 000,00",29,,29,1000,29000,Жаке,"29,00","1 000,00","29 000,00","0,00"
"Шпинат, упак 100гр",в упаковке 100гр,"1 200,00",6,,6,1200,7200,Жаке,"6,00","1 200,00","7 200,00","0,00"
"Щавель, упак 100гр",в упаковке 100гр,"600,00",10,,10,600,6000,Жаке,"10,00","600,00","6 000,00","0,00"
,,,,,,,,,,,,
,,,,,,,,,,,,
Абрикос  Шалах,кг,600,"72,6",,"72,6",550,39930,Жамал,"72,60","550,00","39 930,00","3 630,00"
Огурцы миринда ,кг,300,"159,33",,"155,3",200,31060,Жамал,"159,33","194,94","31 060,00","16 739,00"
Перец Ласточка зеленые,кг,600,"27,66",,"25,2",450,11340,Жамал,"27,66","409,98","11 340,00","5 256,00"
Перец Ласточка красные,кг,1 500,"4,7",,"4,4",450,1980,Жамал,"4,70","421,28","1 980,00","5 070,00"
Помидоры розовые ,кг,600,48,,"45,6",550,25080,ЖАмал,"48,00","522,50","25 080,00","3 720,00"
Персик мохнатый,кг,1 200,"8,2",,"8,2",1200,9840,Жамал,"8,20","1 200,00","9 840,00","0,00"
Баклажан ,кг,500,"60,44",,"58,4",550,32120,Жамал,"60,44","531,44","32 120,00","-1 900,00"
Слива красная,кг,550,"42,25",,"40,2",650,26130,Жамал,"42,25","618,46","26 130,00","-2 892,50"
,,,,,,,177480,Жамал,,,,
,,,,,,,,,,,,
Капуста красная,кг,500,"28,6",,"28,6",600,17160,зб,"28,60","600,00","17 160,00","-2 860,00"
"Спаржа свежая, упак",упак,5 500,1,,1,5500,5500,зб,"1,00","5 500,00","5 500,00","0,00"
Яблоки Фуджи,кг,,2,,2,800,1600,зб,"2,00","800,00","1 600,00","-1 600,00"
Пастила,упак,"1 650,00",5,,5,1000,5000,зб,"5,00","1 000,00","5 000,00","3 250,00"
Персик мохнатый,кг,1 200,3,,3,2000,6000,зб,"3,00","2 000,00","6 000,00","-2 400,00"
Мята,кг,900,"1,34",,"1,34",1300,1742,зб,"1,34","1 300,00","1 742,00","-536,00"
Перец Ласточка красные,кг,1 500,2,,2,1500,3000,зб,"2,00","1 500,00","3 000,00","0,00"
Кинза,кг,550,"3,3",,"3,3",550,1815,ИП Ельнур,"3,30","550,00","1 815,00","0,00"
