,,,Количество списано,,,,,,Общая сумма,,,,,
Наименование,Ед. Изм.,Цена,Галмарт Форум,Галмарт Мега,Галмарт Достык,Столичный,Склад,Грязь,Галмарт Форум,Галмарт Мега,Галмарт Достык,Столичный,Склад,Грязь
Авокадо Пинкертон,шт,620,,,,,,,0,0,0,0,0,0
Авокадо Хасс,шт,650,,,,,,,0,0,0,0,0,0
Авокадо Хасс (2шт),упак,1 300,,,,,,,0,0,0,0,0,0
Ананас Коста Рика,шт,1 700,,,,,,,0,0,0,0,0,0
Ананас ГОЛД,шт,2 500,,,,,,,0,0,0,0,0,0
Апельсин Египет,кг,620,,,"2,1",,,,0,0,1302,0,0,0
Апельсин красный ,кг,,,,,,,,0,0,0,0,0,0
Апельсин Марокко ,кг,,,,,,,,0,0,0,0,0,0
Базилик зеленый,кг,7 000,,,,,,,0,0,0,0,0,0
Базилик фиолетовый,кг,,,,,,,,0,0,0,0,0,0
Баклажан ,кг,500,"3,59",,,"1,36","2,16",,1795,0,0,680,1080,0
Банан ,кг,630,"18,69",,,"0,7",,,"11774,7",0,0,441,0,0
Банан шт,шт,,,,,,,,0,0,0,0,0,0
Брокколи ,кг,600,"3,55",,,,,,2130,0,0,0,0,0
Виноград Дамские пальчики зеленый,кг,,,,,,,,0,0,0,0,0,0
Виноград зеленый ,кг,2 000,,,,,,,0,0,0,0,0,0
Виноград Кастельберг ,кг,,,,,,,,0,0,0,0,0,0
Виноград кишмиш ,кг,,,,,,,,0,0,0,0,0,0
Виноград бычий глаз,кг,1 900,,,,,,,0,0,0,0,0,0
Виноград Мерс,кг,,,,,,,,0,0,0,0,0,0
Виноград Победа ,кг,,,,,,,,0,0,0,0,0,0
Виноград Ризамат,кг,,,,,,,,0,0,0,0,0,0
Виноград Хусейн ( зеленый),кг,,,,,,,,0,0,0,0,0,0
Виноград черный,кг,1 950,,,,,,,0,0,0,0,0,0
Гранат Узбекистан,кг,1 000,,,,,"0,46",,0,0,0,0,460,0
Грейпфрут ,кг,1 050,,,,,,,0,0,0,0,0,0
Грибы Вешенки,кг,3 000,"1,29",,"0,4",,,,3870,0,1200,0,0,0
Грибы Шампиньоны ,кг,1 500,,,,,,,0,0,0,0,0,0
Грибы Шампиньоны мелкие,кг,1 500,,,,,,,0,0,0,0,0,0
Груша Дюшес ,кг,800,,,,,,,0,0,0,0,0,0
Груша Конференция,кг,1 300,,,"0,45",,,,0,0,585,0,0,0
Груша Пакхам,кг,1 200,,,,,,,0,0,0,0,0,0
Груша Талгарка,кг,,,,,,,,0,0,0,0,0,0
Груша Форель красная,кг,1 200,,,,,,,0,0,0,0,0,0
Джусай,кг,400,,,,,,,0,0,0,0,0,0
Кинза,кг,550,,,,"0,32","0,56",,0,0,0,176,308,0
Листья салата,кг,400,,,,,"1,28",,0,0,0,0,512,0
Листья салата Красный,кг,700,,,,,,,0,0,0,0,0,0
Лук зеленый,кг,750,,,,"0,22","0,8",,0,0,0,165,600,0
Мята,кг,900,,,,,,,0,0,0,0,0,0
Петрушка кудрявая,кг,1 200,,,,,                                              ,,0,0,0,0,#VALUE!,0
Петрушка обычная,кг,750,,,,,,,0,0,0,0,0,0
Руккола,кг,900,,,,,,,0,0,0,0,0,0
Зелень сельдерея,кг,1 050,,,,,,,0,0,0,0,0,0
Стрелки чеснока,кг,450,,,,,,,0,0,0,0,0,0
Укроп,кг,750,,,,,,,0,0,0,0,0,0
Шпинат,кг,400,,,,,,,0,0,0,0,0,0
Щавель,кг,500,,,,,,,0,0,0,0,0,0
Кабачки ,кг,250,"1,5",,,,,,375,0,0,0,0,0
Капуста белокочанная молодая,кг,150,"1,4",,,"0,69",,"4,3",210,0,0,"103,5",0,645
Капуста зеленая голландская,кг,150,,,,,,,0,0,0,0,0,0
Капуста красная,кг,500,"1,15",,,,,,575,0,0,0,0,0
Капуста пекинская,кг,140,"1,25",,,,"0,75",,175,0,0,0,105,0
Капуста пекинская мини,кг,,,,,,,,0,0,0,0,0,0
Капуста цветная ,кг,300,"2,6",,,,,,780,0,0,0,0,0
"Карамбулла, шт",шт,,,,,,,,0,0,0,0,0,0
Картофель Батат ,кг,1 500,,,,,,,0,0,0,0,0,0
Картофель Бейби ,кг,400,,,"2,2",,,,0,0,880,0,0,0
Картофель отборный ,кг,180,,,,,,"11,05",0,0,0,0,0,1989
Картофель СЦ,кг,180,,,,,,,0,0,0,0,0,0
Картофель молодой,,,,,,"1,59",,,0,0,0,0,0,0
Киви (в упаковке),упак ,550,,,,,,,0,0,0,0,0,0
Кокос,шт,,,,,,,,0,0,0,0,0,0
Корень Имбиря ,кг,1 500,,,,,,,0,0,0,0,0,0
Лайм ,кг,2 700,,,"2,55",,"0,08",,0,0,6885,0,216,0
Лимон Турция,кг,950,,,,"0,14",,,0,0,0,133,0,0
Лимон Узбекистан,кг,1 000,,,"1,75","0,94",,,0,0,1750,940,0,0
Лук белый,кг,,,,,,,,0,0,0,0,0,0
Лук красный,кг,500,,,,,,,0,0,0,0,0,0
Лук порей,кг,1 100,"1,09",,,,,,1199,0,0,0,0,0
Лук репчатый молодой,кг,180,,,,"1,45",,"2,8",0,0,0,261,0,504
Лук репчатый СЦ,,180,,,,,,,0,0,0,0,0,0
Манго Китай,шт,1 000,,,,,,,0,0,0,0,0,0
Мандарин Марокко,кг,,,,,,,,0,0,0,0,0,0
Мандарин Пакистан,кг,,,,,,,,0,0,0,0,0,0
Мандарин с листьями,кг,,,,,,,,0,0,0,0,0,0
Мандарин Турция ,кг,1 100,,,,,"0,29",,0,0,0,0,319,0
Мандарины Турция (Novita),кг,,,,,,,,0,0,0,0,0,0
"Маракуйя, упак",упак,700,,,,,,,0,0,0,0,0,0
Морковь желтая,кг,250,,,,,,,0,0,0,0,0,0
Морковь свежая ,кг,250,,,,"4,44",,"33,08",0,0,0,1110,0,8270
Морковь СЦ,,,,,,,,,0,0,0,0,0,0
Огурцы короткоплодные,кг,400,,,,,,,0,0,0,0,0,0
Огурцы миринда ,кг,300,"4,1",,,"0,74","0,45",,1230,0,0,222,135,0
Огурцы Рава,кг,300,,,,"3,21",,,0,0,0,963,0,0
Орех Пекан,кг,,,,,,,,0,0,0,0,0,0
"Папайя, шт",шт,,,,,,,,0,0,0,0,0,0
Перец Ласточка зеленые,кг,600,,,,,,,0,0,0,0,0,0
Перец Ласточка красные,кг,1 500,"1,7",,"2,9","0,42",,,2550,0,4350,630,0,0
Перец полугорький зеленый,кг,900,"3,3",,"2,75","0,7","0,14",,2970,0,2475,630,126,0
Перец полугорький красный,кг,900,,,,"0,18","0,22",,0,0,0,162,198,0
Перец светофор желтый,кг,700,"0,9",,,"1,05","2,5",,630,0,0,735,1750,0
Перец светофор зеленый,кг,700,,,,"1,13","2,92",,0,0,0,791,2044,0
Перец светофор красный,кг,700,,,,"0,86","0,85",,0,0,0,602,595,0
Перец светофор оранжевый,кг,,,,,,,,0,0,0,0,0,0
Перец чили зеленый мелкий,кг,,,,,,,,0,0,0,0,0,0
Перец чили красный крупный,кг,,,,,,,,0,0,0,0,0,0
Перец чили красный мелкий,кг,2 500,,,,,,,0,0,0,0,0,0
Персик нектарин,кг,800,,,,"0,13","0,69",,0,0,0,104,552,0
Питахайя,шт,1 100,,,,,,,0,0,0,0,0,0
Помело желтый,шт,,,,,,,,0,0,0,0,0,0
Помело красный Тайланд,шт,,,,,,,,0,0,0,0,0,0
Помидоры красные тепличные,кг,300,"2,8",,,"2,42",,,840,0,0,726,0,0
Помидоры на ветке ,кг,300,"0,8",,,,"20,76 кг, для Фитнес Фуд комплимент",,240,0,0,0,#VALUE!,0
Помидоры розовые ,кг,600,"0,8",,,"1,73",,,480,0,0,1038,0,0
Помидоры черри желтые,кг,1 500,,,"0,75",,,,0,0,1125,0,0,0
Помидоры черри красные Китай,кг,950,,,,,"0,04",,0,0,0,0,38,0
Помидоры черри красные на ветке,кг,0,,,,,,,0,0,0,0,0,0
Редис (в пучке),пуч,180,,,1,,,,0,0,180,0,0,0
Редис весовой,кг,350,,,,"1,77",,,0,0,0,"619,5",0,0
Редька,кг,250,,,,,,,0,0,0,0,0,0
Редька Дайкон ,кг,,,,,,,,0,0,0,0,0,0
Розмарин,кг,8 000,,,,,,,0,0,0,0,0,0
"Ростки сои, упак (0,7кг)",упак,1 000,,,7,,,,0,0,7000,0,0,0
Салат Айсберг,кг,300,,,,,"0,86",,0,0,0,0,258,0
Свекла ,кг,150,,,,"1,32",,,0,0,0,198,0,0
Персик желтый,кг,1 400,,,,,,,0,0,0,0,0,0
Слива красная,кг,550,,,"0,35",,"0,08",,0,0,"192,5",0,44,0
"Спаржа свежая, упак",упак,5 500,,,,,,,0,0,0,0,0,0
Тимьян ,кг,8 000,,,,,,,0,0,0,0,0,0
Тыква обычная,кг,500,,,,,,,0,0,0,0,0,0
Тыква Японка,кг,0,,,,,,,0,0,0,0,0,0
Хурма шоколадная,кг,,,,,,,,0,0,0,0,0,0
Цукини,кг,,,,,,,,0,0,0,0,0,0
Чеснок свежий,кг,500,,,,,,,0,0,0,0,0,0
Чеснок чищенный,кг,1 300,,,,,,,0,0,0,0,0,0
Яблоки Айдарет,кг,500,,,,,"0,12",,0,0,0,0,60,0
Яблоки Гренни Смит ,кг,1 000,,,,,,,0,0,0,0,0,0
Яблоки Золотое Превосходное,кг,550,,,,,,,0,0,0,0,0,0
Яблоки Красные Американка  ,кг,450,,,,,,,0,0,0,0,0,0
"Картофель Израиль, 3кг упак",упак,,,,,,,,0,0,0,0,0,0
"Ромейн, упак",упак,3 300,,,,,,,0,0,0,0,0,0
"Салат Фризе, упак",упак,3 500,,,,,,,0,0,0,0,0,0
Стебли сельдерея,кг,1 250,"1,29",,,,,,"1612,5",0,0,0,0,0
Яблоки Чемпион ,кг,550,,,,,,,0,0,0,0,0,0
Яблоки Гала,кг,500,,,"0,55","0,16",,,0,0,275,80,0,0
Яблоки Семеренко,кг,,,,,,,,0,0,0,0,0,0
Яблоки Фуджи,кг,,,,,,,,0,0,0,0,0,0
Картофель молодой,кг,230,,,,,,,0,0,0,0,0,0
Лола росса,кг,700,,,,,,,0,0,0,0,0,0
Персик мохнатый,кг,1 200,,,"2,65",,"0,33",,0,0,3180,0,396,0
Капуста молодая,кг,150,,,,,,,0,0,0,0,0,0
Свекла молодая,кг,0,,,,,,,0,0,0,0,0,0
"Сок Яблочный прямого отжима 1,5л",упак,900,,,,,,,0,0,0,0,0,0
Помидоры коктейльные,кг,1 500,,,,,,,0,0,0,0,0,0
Свекла с ботвой,пуч ,,,,,,,,0,0,0,0,0,0
Арбуз Иран,кг,300,,,,,,,0,0,0,0,0,0
Киви весовой,кг,1 400,,,"1,34",,,,0,0,1876,0,0,0
Абрикос Китай,кг,,,,,,,,0,0,0,0,0,0
Джандо,кг,1 900,,,,,,,0,0,0,0,0,0
Морковь с ботвой шт,шт,,,,,,,,0,0,0,0,0,0
